Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Crs,TklW,Int,Fld,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm
1210,Daniel James,wls WAL,FW,Leeds United,eng Premier League,28.0,1997,16,4,417,4.6,0,0,0,0,0,0,0,0,0.00,11,3,27.3,2.37,0.65,0.00,0.00,0,0,42,4,1,7,0,0,0,1,0,,,,,,,,,,,,,,
1211,Reece James,eng ENG,"DF,MF",Chelsea,eng Premier League,26.0,1999,27,20,1896,21.1,2,4,6,2,0,0,4,0,0.28,21,6,28.6,1.00,0.28,0.10,0.33,0,0,123,32,31,20,4,0,0,26,0,,,,,,,,,,,,,,
1212,Vitaly Janelt,de GER,MF,Brentford,eng Premier League,27.0,1998,22,13,1261,14.0,1,4,5,1,0,0,7,0,0.36,12,3,25.0,0.86,0.21,0.08,0.33,0,0,53,16,26,12,7,0,0,17,0,,,,,,,,,,,,,,
1213,Mathis Jangeal,fr FRA,FW,Paris Saint-Germain,fr Ligue 1,17.0,2008,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,
1214,Isak Jansson,se SWE,"FW,MF",Nice,fr Ligue 1,24.0,2002,20,7,615,6.8,1,0,1,1,0,0,3,0,0.15,15,9,60.0,2.20,1.32,0.07,0.11,0,0,13,7,4,6,3,0,0,10,0,,,,,,,,,,,,,,
1215,Adnan Januzaj,be BEL,"MF,FW",Sevilla,es La Liga,31.0,1995,12,2,321,3.6,0,0,0,0,0,0,1,0,0.00,7,0,0.0,1.96,0.00,0.00,,0,0,30,4,1,10,1,0,0,8,0,,,,,,,,,,,,,,
1216,Luca Jaquez,ch SUI,DF,Stuttgart,de Bundesliga,22.0,2003,12,10,867,9.6,0,1,1,0,0,0,1,0,0.10,4,0,0.0,0.42,0.00,0.00,,0,0,0,7,11,2,1,0,0,4,0,,,,,,,,,,,,,,
1217,Ardon Jashari,ch SUI,MF,Milan,it Serie A,23.0,2002,12,5,556,6.2,0,1,1,0,0,0,0,0,0.16,7,2,28.6,1.13,0.32,0.00,0.00,0,0,9,10,5,5,0,0,0,10,0,,,,,,,,,,,,,,
1218,Bakery Jatta,gm GAM,MF,Hamburger SV,de Bundesliga,27.0,1998,14,11,847,9.4,0,1,1,0,0,0,1,0,0.11,10,3,30.0,1.06,0.32,0.00,0.00,0,0,19,10,6,5,1,0,0,11,0,,,,,,,,,,,,,,
1219,Mikel Jauregizar,es ESP,MF,Athletic Club,es La Liga,22.0,2003,32,31,2559,28.4,2,0,2,2,0,0,6,1,0.07,32,9,28.1,1.13,0.32,0.06,0.22,0,0,64,41,45,32,6,1,1,43,0,,,,,,,,,,,,,,
1220,Gaby Jean,fr FRA,DF,Lecce,it Serie A,26.0,2000,4,1,129,1.4,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,2,1,1,0,0,0,1,0,,,,,,,,,,,,,,
1221,Finn Jeltsch,de GER,DF,Stuttgart,de Bundesliga,19.0,2006,22,17,1507,16.7,0,1,1,0,0,0,3,0,0.06,3,0,0.0,0.18,0.00,0.00,,0,0,3,14,19,16,3,0,0,13,0,,,,,,,,,,,,,,
1222,Castrop Jens,kr KOR,MF,Gladbach,de Bundesliga,22.0,2003,26,20,1584,17.6,3,1,4,3,0,0,2,2,0.23,30,12,40.0,1.70,0.68,0.10,0.25,0,0,21,27,17,26,2,2,0,31,0,,,,,,,,,,,,,,
1223,Mathias Jensen,dk DEN,MF,Brentford,eng Premier League,30.0,1996,33,23,2013,22.4,3,1,4,3,0,0,3,0,0.18,27,8,29.6,1.21,0.36,0.11,0.38,0,0,116,23,18,12,3,0,0,18,0,,,,,,,,,,,,,,
1224,Oliver Jensen,dk DEN,MF,Parma,it Serie A,24.0,2002,32,19,1800,20.0,1,1,2,1,0,0,2,0,0.10,14,3,21.4,0.70,0.15,0.07,0.33,0,0,14,7,17,20,2,0,0,13,0,,,,,,,,,,,,,,
1225,Moritz Jenz,de GER,DF,Wolfsburg,de Bundesliga,27.0,1999,22,20,1787,19.9,1,0,1,1,0,0,8,1,0.05,5,1,20.0,0.25,0.05,0.20,1.00,0,0,1,22,12,7,8,1,1,31,1,,,,,,,,,,,,,,
1226,Gabriel Jesus,br BRA,FW,Arsenal,eng Premier League,29.0,1997,13,2,355,3.9,2,0,2,2,0,0,2,0,0.51,15,10,66.7,3.80,2.54,0.13,0.20,0,0,0,0,2,1,2,0,0,6,0,,,,,,,,,,,,,,
1227,Igor Jesus,br BRA,FW,Nottingham Forest,eng Premier League,25.0,2001,34,25,2043,22.7,6,4,10,5,1,1,1,0,0.40,62,17,27.4,2.73,0.75,0.08,0.29,1,1,9,14,2,36,1,0,0,38,0,,,,,,,,,,,,,,
1228,Juan Jesus,br BRA,DF,Napoli,it Serie A,34.0,1991,23,19,1630,18.1,0,0,0,0,0,0,10,1,0.00,3,0,0.0,0.17,0.00,0.00,,0,0,1,20,26,2,10,1,1,39,0,,,,,,,,,,,,,,
1229,Álex Jiménez,es ESP,"DF,MF",Bournemouth,eng Premier League,21.0,2005,31,26,2317,25.7,1,0,1,1,0,0,10,0,0.04,21,4,19.0,0.82,0.16,0.05,0.25,0,0,51,45,27,20,10,0,0,35,0,,,,,,,,,,,,,,
1230,Álex Jiménez,es ESP,DF,Milan,it Serie A,21.0,2005,1,0,45,0.5,0,0,0,0,0,0,1,0,0.00,0,0,,0.00,0.00,,,0,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,
1231,David Jiménez,es ESP,DF,Real Madrid,es La Liga,22.0,2004,2,1,76,0.8,0,0,0,0,0,0,0,0,0.00,1,1,100.0,1.18,1.18,0.00,0.00,0,0,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1232,Raúl Jiménez,mx MEX,FW,Fulham,eng Premier League,35.0,1991,34,27,2146,23.8,9,3,12,5,4,4,5,0,0.34,70,18,25.7,2.94,0.75,0.07,0.28,4,4,7,19,7,33,5,0,0,45,0,,,,,,,,,,,,,,
1233,Jamaldeen Jimoh,eng ENG,MF,Aston Villa,eng Premier League,19.0,2006,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
1234,João Pedro,br BRA,"FW,MF",Chelsea,eng Premier League,24.0,2001,33,29,2481,27.6,15,5,20,15,0,0,4,0,0.73,68,28,41.2,2.47,1.02,0.22,0.54,0,0,18,15,5,50,4,0,0,35,0,,,,,,,,,,,,,,
1235,Joelinton,br BRA,MF,Newcastle United,eng Premier League,29.0,1996,26,22,1861,20.7,2,1,3,2,0,0,10,0,0.15,29,10,34.5,1.40,0.48,0.07,0.20,0,0,10,20,27,27,10,0,0,42,0,,,,,,,,,,,,,,
1236,Jofre,es ESP,MF,Espanyol,es La Liga,24.0,2001,23,8,815,9.1,1,0,1,1,0,0,1,0,0.11,20,5,25.0,2.21,0.55,0.05,0.20,0,0,31,5,5,24,1,0,0,12,0,,,,,,,,,,,,,,
1237,Þórir Jóhann Helgason,is ISL,MF,Lecce,it Serie A,25.0,2000,7,1,126,1.4,0,0,0,0,0,0,0,0,0.00,2,1,50.0,1.43,0.71,0.00,0.00,0,0,4,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,
1238,Ísak Jóhannesson,is ISL,MF,Köln,de Bundesliga,23.0,2003,29,20,1697,18.9,1,2,3,1,0,0,5,0,0.16,13,4,30.8,0.69,0.21,0.08,0.25,0,0,63,15,8,5,5,0,0,13,0,,,,,,,,,,,,,,
1239,John,br BRA,GK,Nottingham Forest,eng Premier League,30.0,1996,5,5,437,4.9,0,0,0,0,0,0,1,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,1,0,0,0,0,8,1.65,13,6,46.2,1,0,4,1,20.0,1,1,0,0
1240,Dennis Johnsen,no NOR,"MF,FW",Cremonese,it Serie A,28.0,1998,11,5,390,4.3,1,1,2,1,0,0,0,0,0.46,5,2,40.0,1.15,0.46,0.20,0.50,0,0,12,2,0,4,0,0,0,2,0,,,,,,,,,,,,,,
1241,Brennan Johnson,wls WAL,"MF,FW",Tottenham Hotspur,eng Premier League,24.0,2001,16,6,610,6.8,2,0,2,2,0,0,2,0,0.30,6,2,33.3,0.89,0.30,0.33,1.00,0,0,23,9,2,4,2,0,0,2,0,,,,,,,,,,,,,,
1242,Brennan Johnson,wls WAL,"MF,FW",Crystal Palace,eng Premier League,24.0,2001,15,11,914,10.2,0,1,1,0,0,0,4,0,0.10,17,3,17.6,1.67,0.30,0.00,0.00,0,0,35,5,2,9,4,0,0,16,0,,,,,,,,,,,,,,
1243,Karl-Johan Johnsson,se SWE,GK,Strasbourg,fr Ligue 1,36.0,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0
1244,Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,33.0,1993,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,1,0,0,0,0,0,0,1,24,2.00,62,39,62.9,0,2,10,0,0.0,1,1,0,0
1245,Curtis Jones,eng ENG,"MF,DF",Liverpool,eng Premier League,25.0,2001,31,15,1667,18.5,0,2,2,0,0,0,2,0,0.11,19,6,31.6,1.03,0.32,0.00,0.00,0,0,10,19,16,25,2,0,0,15,0,,,,,,,,,,,,,,
1246,Ricky-Jade Jones,eng ENG,FW,St Pauli,de Bundesliga,24.0,2001,8,3,337,3.7,2,0,2,2,0,0,1,0,0.53,11,6,54.5,2.94,1.60,0.18,0.33,0,0,8,2,1,7,1,0,0,8,0,,,,,,,,,,,,,,
1247,Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,28.0,1997,23,16,1580,17.6,1,5,6,1,0,0,4,1,0.34,7,2,28.6,0.40,0.11,0.14,0.50,0,0,4,18,17,25,4,1,1,10,0,,,,,,,,,,,,,,
1248,Joan Jordán,es ESP,MF,Sevilla,es La Liga,31.0,1994,3,0,25,0.3,0,0,0,0,0,0,1,1,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,1,1,0,4,0,,,,,,,,,,,,,,
1249,Josan,es ESP,"MF,DF",Elche,es La Liga,36.0,1989,17,4,536,6.0,0,2,2,0,0,0,2,0,0.34,3,1,33.3,0.50,0.17,0.00,0.00,0,0,63,7,5,5,2,0,0,5,0,,,,,,,,,,,,,,
1250,Mateo Joseph,es ESP,"MF,FW",Mallorca,es La Liga,22.0,2003,29,19,1699,18.9,2,3,5,2,0,0,2,0,0.26,33,14,42.4,1.75,0.74,0.06,0.14,0,0,14,19,13,31,2,0,0,19,0,,,,,,,,,,,,,,
1251,Lazar Jovanović,rs SRB,FW,Stuttgart,de Bundesliga,19.0,2006,3,0,40,0.4,0,0,0,0,0,0,0,0,0.00,1,0,0.0,2.25,0.00,0.00,,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,
1252,Juanmi,es ESP,"FW,MF",Getafe,es La Liga,32.0,1993,8,0,179,2.0,1,0,1,1,0,0,0,0,0.50,2,1,50.0,1.01,0.50,0.50,1.00,0,0,0,0,0,1,0,0,0,2,0,,,,,,,,,,,,,,
1253,Abdulai Juma Bah,sl SLE,DF,Nice,fr Ligue 1,20.0,2006,25,21,1868,20.8,0,0,0,0,0,0,7,0,0.00,7,2,28.6,0.34,0.10,0.00,0.00,0,0,0,18,30,7,7,0,0,26,0,,,,,,,,,,,,,,
1254,Anthony Jung,de GER,DF,Freiburg,de Bundesliga,34.0,1991,11,4,506,5.6,0,0,0,0,0,0,2,0,0.00,1,0,0.0,0.18,0.00,0.00,,0,0,0,0,9,3,2,0,0,4,0,,,,,,,,,,,,,,
1255,Eli Junior Kroupi,fr FRA,"MF,FW",Bournemouth,eng Premier League,19.0,2006,30,18,1447,16.1,12,0,12,10,2,2,5,0,0.62,43,20,46.5,2.67,1.24,0.23,0.50,2,2,9,6,8,11,5,0,0,23,0,,,,,,,,,,,,,,
1256,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,es La Liga,25.0,2001,28,28,2520,28.0,0,0,0,0,0,0,3,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,1,4,3,0,0,2,0,30,1.07,96,72,74.0,18,3,7,8,28.6,6,5,1,0
1257,Hamed Junior Traorè,ci CIV,MF,Bournemouth,eng Premier League,26.0,2000,1,0,17,0.2,0,1,1,0,0,0,0,0,5.29,0,0,,0.00,0.00,,,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1258,Hamed Junior Traorè,ci CIV,MF,Marseille,fr Ligue 1,26.0,2000,13,7,619,6.9,2,1,3,2,0,0,1,0,0.44,13,6,46.2,1.89,0.87,0.15,0.33,0,0,33,7,5,11,1,0,0,8,0,,,,,,,,,,,,,,
1259,Vinicius Júnior,br BRA,"FW,MF",Real Madrid,es La Liga,25.0,2000,33,29,2559,28.4,15,5,20,11,4,5,8,0,0.56,95,44,46.3,3.34,1.55,0.12,0.25,4,5,59,15,2,78,8,0,0,33,0,,,,,,,,,,,,,,
1260,Josip Juranović,hr CRO,MF,Union Berlin,de Bundesliga,30.0,1995,9,3,294,3.3,0,1,1,0,0,0,1,0,0.31,3,0,0.0,0.92,0.00,0.00,,0,0,37,4,0,3,1,0,0,0,0,,,,,,,,,,,,,,
1261,James Justin,eng ENG,"DF,MF",Leeds United,eng Premier League,28.0,1998,26,18,1631,18.1,2,1,3,2,0,0,4,0,0.17,21,6,28.6,1.16,0.33,0.10,0.33,0,0,33,31,24,24,4,0,0,11,0,,,,,,,,,,,,,,
1262,Ferran Jutglà,es ESP,"FW,MF",Celta Vigo,es La Liga,27.0,1999,26,19,1471,16.3,7,3,10,7,0,0,4,0,0.61,43,24,55.8,2.63,1.47,0.16,0.29,0,0,18,3,7,24,4,0,0,22,0,,,,,,,,,,,,,,
1263,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,24.0,2002,4,2,289,3.2,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,1,0,0,0,0,0,0,4,1.25,10,6,60.0,1,1,0,0,0.0,0,0,0,0
1264,Martijn Kaars,nl NED,FW,St Pauli,de Bundesliga,27.0,1999,27,12,1168,13.0,3,1,4,2,1,1,2,0,0.23,21,10,47.6,1.62,0.77,0.10,0.20,1,1,11,5,0,6,2,0,0,8,0,,,,,,,,,,,,,,
1265,Mohamed Kaba,gn GUI,MF,Nantes,fr Ligue 1,24.0,2001,12,11,918,10.2,0,2,2,0,0,0,2,0,0.20,11,6,54.5,1.08,0.59,0.00,0.00,0,0,2,15,14,27,2,0,0,13,0,,,,,,,,,,,,,,
1266,Mohamed Kaba,gn GUI,MF,Lecce,it Serie A,24.0,2001,15,5,633,7.0,0,0,0,0,0,0,1,0,0.00,9,4,44.4,1.28,0.57,0.00,0.00,0,0,8,7,4,21,1,0,0,12,0,,,,,,,,,,,,,,
1267,Ozan Kabak,tr TUR,DF,Hoffenheim,de Bundesliga,26.0,2000,23,16,1571,17.5,4,0,4,4,0,0,4,0,0.23,32,12,37.5,1.83,0.69,0.13,0.33,0,0,1,16,24,7,4,0,0,23,0,,,,,,,,,,,,,,
1268,Almugera Kabar,de GER,DF,Dortmund,de Bundesliga,19.0,2006,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,1,0,0.0,5.63,0.00,0.00,,0,0,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1269,Christian Kabasele,be BEL,DF,Udinese,it Serie A,35.0,1991,28,26,2139,23.8,3,0,3,3,0,0,5,0,0.13,9,6,66.7,0.38,0.25,0.33,0.50,0,0,0,12,31,25,5,0,0,32,0,,,,,,,,,,,,,,
1270,Anton Kade,de GER,"MF,FW",Augsburg,de Bundesliga,22.0,2004,26,16,1563,17.4,6,0,6,6,0,0,3,0,0.35,41,19,46.3,2.36,1.09,0.15,0.32,0,0,22,12,12,17,3,0,0,20,0,,,,,,,,,,,,,,
1271,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,eng Premier League,26.0,1999,34,31,2863,31.8,1,0,1,1,0,0,6,0,0.03,26,12,46.2,0.82,0.38,0.04,0.08,0,0,103,38,23,35,6,0,0,19,0,,,,,,,,,,,,,,
1272,Florian Kainz,at AUT,MF,Köln,de Bundesliga,33.0,1992,13,2,258,2.9,1,1,2,1,0,0,1,0,0.70,7,4,57.1,2.44,1.40,0.14,0.25,0,0,18,2,3,4,1,0,0,4,0,,,,,,,,,,,,,,
1273,Sasa Kalajdzic,at AUT,"FW,MF",Wolves,eng Premier League,28.0,1997,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,
1274,Arnaud Kalimuendo,fr FRA,FW,Nottingham Forest,eng Premier League,24.0,2002,9,0,96,1.1,0,0,0,0,0,0,0,0,0.00,4,1,25.0,3.75,0.94,0.00,0.00,0,0,2,1,0,0,0,0,0,2,0,,,,,,,,,,,,,,
1275,Arnaud Kalimuendo,fr FRA,"FW,MF",Eintracht Frankfurt,de Bundesliga,24.0,2002,18,16,1372,15.2,6,1,7,6,0,0,4,0,0.46,30,16,53.3,1.97,1.05,0.20,0.38,0,0,15,4,3,18,4,0,0,9,0,,,,,,,,,,,,,,
1276,Pierre Kalulu,fr FRA,"DF,MF",Juventus,it Serie A,25.0,2000,34,34,3011,33.5,2,4,6,2,0,0,3,1,0.18,13,4,30.8,0.39,0.12,0.15,0.50,0,0,84,32,24,14,3,1,1,31,0,,,,,,,,,,,,,,
1277,Justin-Noël Kalumba,fr FRA,FW,Mallorca,es La Liga,21.0,2004,3,1,81,0.9,0,0,0,0,0,0,0,0,0.00,1,0,0.0,1.11,0.00,0.00,,0,0,2,1,0,4,0,0,0,2,0,,,,,,,,,,,,,,
1278,Justin-Noël Kalumba,fr FRA,"FW,MF",Angers,fr Ligue 1,21.0,2004,4,3,224,2.5,0,0,0,0,0,0,0,0,0.00,1,0,0.0,0.40,0.00,0.00,,0,0,15,3,1,3,0,0,0,3,0,,,,,,,,,,,,,,
1279,Daichi Kamada,jp JPN,MF,Crystal Palace,eng Premier League,29.0,1996,24,19,1661,18.5,0,0,0,0,0,0,2,0,0.00,16,4,25.0,0.87,0.22,0.00,0.00,0,0,36,32,11,24,2,0,0,28,0,,,,,,,,,,,,,,
1280,Warren Kamanzi,no NOR,MF,Toulouse,fr Ligue 1,25.0,2000,23,7,839,9.3,0,1,1,0,0,0,1,0,0.11,10,1,10.0,1.07,0.11,0.00,0.00,0,0,12,11,7,8,1,0,0,8,0,,,,,,,,,,,,,,
1281,Abu Kamara,eng ENG,MF,Getafe,es La Liga,22.0,2003,12,1,256,2.8,0,0,0,0,0,0,1,0,0.00,4,1,25.0,1.41,0.35,0.00,0.00,0,0,9,2,3,4,1,0,0,2,0,,,,,,,,,,,,,,
1282,Bingourou Kamara,sn SEN,GK,Lorient,fr Ligue 1,29.0,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,1,0,0,0,0,0,8,2.67,16,8,50.0,1,0,2,1,33.3,1,0,0,1
1283,Boubacar Kamara,fr FRA,MF,Aston Villa,eng Premier League,26.0,1999,18,17,1411,15.7,1,3,4,1,0,0,5,0,0.26,7,4,57.1,0.45,0.26,0.14,0.25,0,0,2,16,15,30,5,0,0,16,0,,,,,,,,,,,,,,
1284,Glen Kamara,fi FIN,MF,Rennes,fr Ligue 1,30.0,1995,4,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,
1285,Hassane Kamara,ci CIV,"MF,DF",Udinese,it Serie A,32.0,1994,24,20,1693,18.8,0,1,1,0,0,0,4,0,0.05,16,5,31.3,0.85,0.27,0.00,0.00,0,0,74,18,24,10,4,0,0,15,0,,,,,,,,,,,,,,
1286,Noham Kamara,fr FRA,DF,Lyon,fr Ligue 1,19.0,2007,2,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1287,Willy Kambwala,fr FRA,DF,Villarreal,es La Liga,21.0,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1288,Jakub Kamiński,pl POL,"MF,FW",Köln,de Bundesliga,23.0,2002,32,32,2837,31.5,7,3,10,7,0,0,4,0,0.32,61,25,41.0,1.94,0.79,0.11,0.28,0,0,107,27,22,28,4,0,0,13,0,,,,,,,,,,,,,,
1289,Nouhoum Kamissoko,ml MLI,MF,Marseille,fr Ligue 1,21.0,2004,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,1,0,0.0,8.18,0.00,0.00,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1290,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,35.0,1990,3,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1291,Harry Kane,eng ENG,"FW,MF",Bayern Munich,de Bundesliga,32.0,1993,29,23,2197,24.4,33,5,38,23,10,10,1,0,1.15,111,63,56.8,4.55,2.58,0.21,0.37,10,10,12,12,7,32,1,0,0,24,0,,,,,,,,,,,,,,
1292,Lee Kang-in,kr KOR,"MF,FW",Paris Saint-Germain,fr Ligue 1,25.0,2001,25,17,1434,15.9,3,4,7,3,0,0,3,0,0.44,36,14,38.9,2.26,0.88,0.08,0.21,0,0,100,8,1,19,3,0,0,18,0,,,,,,,,,,,,,,
1293,Steeve Kango,fr FRA,DF,Lyon,fr Ligue 1,19.0,2006,4,1,80,0.9,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,7,1,0,1,0,0,0,1,0,,,,,,,,,,,,,,
1294,Mohamadou Kanté,fr FRA,MF,West Ham United,eng Premier League,20.0,2005,9,0,44,0.5,0,0,0,0,0,0,1,0,0.00,2,0,0.0,4.09,0.00,0.00,,0,0,0,4,0,0,1,0,0,1,0,,,,,,,,,,,,,,
1295,Adam Karabec,cz CZE,"MF,FW",Lyon,fr Ligue 1,22.0,2003,21,11,922,10.2,1,0,1,1,0,0,3,0,0.10,9,5,55.6,0.88,0.49,0.11,0.20,0,0,80,3,1,20,3,0,0,14,0,,,,,,,,,,,,,,
1296,Atakan Karazor,tr TUR,MF,Stuttgart,de Bundesliga,29.0,1996,28,22,1884,20.9,0,1,1,0,0,0,5,1,0.05,7,2,28.6,0.33,0.10,0.00,0.00,0,0,7,27,15,34,5,1,0,20,0,,,,,,,,,,,,,,
1297,Dermane Karim,tg TOG,MF,Lorient,fr Ligue 1,22.0,2003,28,14,1280,14.2,1,2,3,1,0,0,3,0,0.21,15,2,13.3,1.05,0.14,0.07,0.50,0,0,16,14,10,37,3,0,0,19,0,,,,,,,,,,,,,,
1298,Lennart Karl,de GER,MF,Bayern Munich,de Bundesliga,18.0,2008,24,15,1206,13.4,5,4,9,5,0,0,1,0,0.67,39,20,51.3,2.91,1.49,0.13,0.25,0,0,25,14,9,11,1,0,0,5,0,,,,,,,,,,,,,,
1299,Jesper Karlström,se SWE,MF,Udinese,it Serie A,30.0,1995,33,33,2908,32.3,1,0,1,1,0,0,5,0,0.03,18,2,11.1,0.56,0.06,0.06,0.50,0,0,11,32,35,26,5,0,0,39,0,,,,,,,,,,,,,,
1300,Jon Karrikaburu,es ESP,FW,Real Sociedad,es La Liga,23.0,2002,7,0,135,1.5,0,0,0,0,0,0,0,0,0.00,7,2,28.6,4.67,1.33,0.00,0.00,0,0,1,2,0,4,0,0,0,3,0,,,,,,,,,,,,,,
1301,Grigoris Kastanos,cy CYP,MF,Hellas Verona,it Serie A,28.0,1998,6,0,44,0.5,0,0,0,0,0,0,0,0,0.00,1,0,0.0,2.05,0.00,0.00,,0,0,2,3,3,1,0,0,0,3,0,,,,,,,,,,,,,,
1302,Silas Katompa,cd COD,FW,Mainz 05,de Bundesliga,27.0,1998,8,4,334,3.7,1,0,1,1,0,0,1,0,0.27,8,7,87.5,2.16,1.89,0.13,0.14,0,0,11,0,0,5,1,0,0,4,0,,,,,,,,,,,,,,
1303,Panos Katseris,gr GRE,"MF,DF",Lorient,fr Ligue 1,24.0,2001,14,6,568,6.3,1,2,3,1,0,0,3,0,0.48,7,4,57.1,1.11,0.63,0.14,0.25,0,0,31,8,10,13,3,0,0,11,0,,,,,,,,,,,,,,
1304,Mikkel Kaufmann,dk DEN,FW,Heidenheim,de Bundesliga,25.0,2001,16,6,537,6.0,1,1,2,1,0,0,2,0,0.34,11,3,27.3,1.84,0.50,0.09,0.33,0,0,1,2,1,13,2,0,0,14,0,,,,,,,,,,,,,,
1305,Sota Kawasaki,jp JPN,"MF,DF",Mainz 05,de Bundesliga,24.0,2001,10,3,309,3.4,0,0,0,0,0,0,1,0,0.00,1,0,0.0,0.29,0.00,0.00,,0,0,3,5,3,2,1,0,0,6,0,,,,,,,,,,,,,,
1306,Michael Kayode,it ITA,DF,Brentford,eng Premier League,21.0,2004,34,34,2988,33.2,1,1,2,1,0,0,7,0,0.06,9,3,33.3,0.27,0.09,0.11,0.33,0,0,53,44,38,47,7,0,0,23,1,,,,,,,,,,,,,,
1307,Moise Kean,it ITA,FW,Fiorentina,it Serie A,26.0,2000,26,23,2036,22.6,8,1,9,6,2,2,4,0,0.31,98,27,27.6,4.33,1.19,0.06,0.22,2,2,7,4,7,44,4,0,0,29,0,,,,,,,,,,,,,,
1308,Michael Keane,eng ENG,DF,Everton,eng Premier League,33.0,1993,30,26,2321,25.8,3,0,3,3,0,0,1,1,0.12,22,6,27.3,0.85,0.23,0.14,0.50,0,0,1,23,34,6,1,1,0,16,0,,,,,,,,,,,,,,
1309,Ilan Kebbal,dz ALG,"MF,FW",Paris FC,fr Ligue 1,27.0,1998,27,25,2153,23.9,9,4,13,6,3,4,7,0,0.42,48,19,39.6,2.01,0.79,0.13,0.32,3,4,106,15,7,60,7,0,0,15,0,,,,,,,,,,,,,,
1310,Yassine Kechta,ma MAR,MF,Le Havre,fr Ligue 1,24.0,2002,28,13,1258,14.0,2,1,3,2,0,0,3,0,0.21,20,8,40.0,1.43,0.57,0.10,0.25,0,0,26,16,17,15,3,0,0,33,0,,,,,,,,,,,,,,
1311,Thilo Kehrer,de GER,DF,Monaco,fr Ligue 1,29.0,1996,26,26,2254,25.0,0,0,0,0,0,0,8,2,0.00,16,1,6.3,0.64,0.04,0.00,0.00,0,0,5,37,29,28,8,2,1,26,0,,,,,,,,,,,,,,
1312,Mandela Keita,be BEL,MF,Parma,it Serie A,23.0,2002,34,33,2728,30.3,0,1,1,0,0,0,1,0,0.03,14,3,21.4,0.46,0.10,0.00,0.00,0,0,2,43,41,55,1,0,0,28,1,,,,,,,,,,,,,,
1313,Yannik Keitel,de GER,DF,Augsburg,de Bundesliga,26.0,2000,4,1,165,1.8,0,0,0,0,0,0,2,0,0.00,0,0,,0.00,0.00,,,0,0,0,3,1,1,2,0,0,1,0,,,,,,,,,,,,,,
